Glass,Code,K1,L1,K2,L2,K3,L3,A0,A1,A2,A3,A4,A5,ThermalExpansion1e-7m/K,Melt Frequency,Relative Price,Glass,,,,,,,,,,,,,,,,,,,,,
ZF13,785258,,,,,,,3.06161235E+00,-1.45895142E-02,3.28146593E-02,5.23989954E-03,-5.60505494E-04,4.64234125E-05,78,D,43 ,ZF13,,,,,,,,,,,,,,,,,,,,,
H-F13,626357,1.41150321E-01,5.76025273E-02,1.23908619E+00,1.17259382E+02,1.43200332E+00,1.06818976E-02,,,,,,,80,D,44 ,H-F13,,,,,,,,,,,,,,,,,,,,,
H-LaK52,729547,6.48528792E-01,1.65816179E-04,1.28450424E+00,1.58113883E-02,1.23774593E+00,8.57406109E+01,,,,,,,56,MA,44 ,H-LaK52,,,,,,,,,,,,,,,,,,,,,
H-QF8,541472,1.27874264E-01,4.24546034E-02,1.20201357E+00,8.11385854E-03,9.29469360E-01,1.09832978E+02,,,,,,,96,C,45 ,H-QF8,,,,,,,,,,,,,,,,,,,,,
H-LaK59A,691548,1.63613242E+00,8.69769737E-03,1.69161636E-01,2.95057126E-02,9.29984618E-01,8.24994109E+01,,,,,,,82,D,45 ,H-LaK59A,,,,,,,,,,,,,,,,,,,,,
ZF7LGT,805255,,,,,,,3.11724527E+00,-9.77958678E-03,4.31752564E-02,2.52279577E-03,-1.17399740E-04,2.07881157E-05,79,D,45 ,ZF7LGT,,,,,,,,,,,,,,,,,,,,,
BaF4,583465,,,,,,,2.45147200E+00,-6.51188790E-03,1.93773420E-02,-3.06376470E-04,1.01749850E-04,-3.92703560E-06,78,D,45 ,BaF4,,,,,,,,,,,,,,,,,,,,,
ZBaF17,668419,,,,,,,2.71148150E+00,-8.30310470E-03,2.37331950E-02,2.81977290E-04,3.94098990E-05,7.17562650E-07,78,D,45 ,ZBaF17,,,,,,,,,,,,,,,,,,,,,
ZF10,689312,,,,,,,2.75929053E+00,-9.20455833E-03,2.93164338E-02,1.48740799E-03,-7.05223488E-05,9.95388480E-06,76,D,45 ,ZF10,,,,,,,,,,,,,,,,,,,,,
ZF11,699301,,,,,,,2.79066890E+00,-1.06449770E-02,2.90718540E-02,2.12866070E-03,-1.58156250E-04,1.71452470E-05,73,D,45 ,ZF11,,,,,,,,,,,,,,,,,,,,,
